the oldest date in database is :  2016-05-03 05:19:14
727282393510494209 2016-05-03 05:13:29 +0530 <CooCooXenia> I rated Bloodline: Part 11 (S1.E11) 9/10  #IMDb #bingeWatching #Netflix   https://t.co/izf6zVtbXF
727279674158620672 2016-05-03 05:02:41 +0530 <pirate_777> I rated Penny Dreadful: The Day Tennyson Died (S3.E1) 10/10  #IMDb My Name is Dracula 😍  https://t.co/SUib5u6Rrz
727276653966163969 2016-05-03 04:50:41 +0530 <HAMADDASHTI> I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/rYXQaNkEfk
727274370327007234 2016-05-03 04:41:36 +0530 <twittojohn> I rated Η απόφαση (2015) 8/10  #IMDb  https://t.co/YuTtlIusJ9
727274156031643649 2016-05-03 04:40:45 +0530 <twittojohn> I rated I Am Wrath (2016) 6/10  #IMDb  https://t.co/kseHhpXhRY
727271692704337920 2016-05-03 04:30:58 +0530 <Leonlavender> I rated 11.22.63 (2016) 10/10  #IMDb   https://t.co/ZpdsfbBel2
727271576371093504 2016-05-03 04:30:30 +0530 <mALmuscaty> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb من احلى حلقات المسلسل 😍😍👌🏼  https://t.co/7LiTK3UXdN
727269507824242688 2016-05-03 04:22:17 +0530 <TolgarSirvanci> I rated Demolition (2015) 8/10  #IMDb  https://t.co/dxGqsE6zXi
727268847431090178 2016-05-03 04:19:39 +0530 <CiaoCR7> I rated Straight Outta Compton (2015) 8/10  #IMDb   https://t.co/g9AdvY4Ymr
727268513941856256 2016-05-03 04:18:20 +0530 <anyoddusername> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/WOfTHAWbgK
727268440482942977 2016-05-03 04:18:02 +0530 <ShahadMed> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/XBxNjPUra8
727267801044496384 2016-05-03 04:15:30 +0530 <dr3zga> I rated Deadpool (2016) 9/10  #IMDb  https://t.co/kKpc9yUkD5
727266083925856259 2016-05-03 04:08:41 +0530 <rachelgreenzer> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/Zjpi3B7rTA
727264133826015233 2016-05-03 04:00:56 +0530 <L21sMa> I rated Shadows in Paradise (1986) 4/10  #IMDb  https://t.co/AZ4BPTu0cw
727263142015848449 2016-05-03 03:56:59 +0530 <jbargallo> I rated Capitán América: Civil War (2016) 9/10  #IMDb  https://t.co/EGIQAZySnX
727261997423837185 2016-05-03 03:52:26 +0530 <abody10lover> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/JtxwHump3K
727260215083675648 2016-05-03 03:45:21 +0530 <Ali4Gunners> I rated Game of Thrones: Home (S6.E2) 9/10  #IMDb  https://t.co/bc3QUXMcdG
727259536730509313 2016-05-03 03:42:40 +0530 <sherouksabry55> I rated Eddie the Eagle (2016) 9/10  #IMDb  https://t.co/4SgrjOfZ9o
727259048953937920 2016-05-03 03:40:43 +0530 <HYPHYHUNTLEY> I rated Tusk (2014) 6/10  #IMDb  https://t.co/VfsrPEV9BE
727258147228925952 2016-05-03 03:37:08 +0530 <johngalilee> I rated Bastille Day (2016) 6/10  #IMDb  https://t.co/uMPWRaRZtW
