the oldest date in database is :  2018-10-15 14:54:52
1051765366026842112 2018-10-15 14:52:58 +0530 <Abbie4949> I rated Banshee (2013–2016) 7/10  #IMDb  https://t.co/8ifzKUG8Fr
1051765358481330176 2018-10-15 14:52:56 +0530 <MartinCabrita> I rated The Marvelous Mrs. Maisel: Pilot (S1.E1) 10/10  #IMDb  https://t.co/NWkzOuQzQ5
1051765182559588353 2018-10-15 14:52:15 +0530 <MartinCabrita> I rated The Marvelous Mrs. Maisel: Ya Shivu v Bolshom Dome Na Kholme (S1.E2) 9/10  #IMDb  https://t.co/dpvZ4fUQi4
1051765058521448449 2018-10-15 14:51:45 +0530 <MartinCabrita> I rated The Marvelous Mrs. Maisel (2017– ) 10/10  #IMDb  https://t.co/OWQ3hFg2sC
1051763451851366402 2018-10-15 14:45:22 +0530 <jamesgarside_> I rated Killing Eve (2018– ) 7/10  #IMDb  https://t.co/wLjVrpdvYA
1051758604531970048 2018-10-15 14:26:06 +0530 <MhmtDygl> I rated Solo: A Star Wars Story (2018) 7/10  #IMDb  https://t.co/K2tcHH9OI4
1051758026854735872 2018-10-15 14:23:48 +0530 <MhmtDygl> I rated Sicario: Day of the Soldado (2018) 7/10  #IMDb  https://t.co/rJhGxoBrta
1051751818311675904 2018-10-15 13:59:08 +0530 <KennedyMike4> I rated Spartacus 7/10  #IMDb  https://t.co/J25x3HRR0q
1051751564073992192 2018-10-15 13:58:08 +0530 <KennedyMike4> I rated Terminator Genisys 6/10  #IMDb  https://t.co/L49Eha2AUF
1051750523492294666 2018-10-15 13:54:00 +0530 <Luigi_Rossi252> I rated Bill &amp; Ted's Bogus Journey (1991) 6/10  #IMDb  https://t.co/kQhZfOW4Xr
1051750491758227456 2018-10-15 13:53:52 +0530 <MeshariBaker> I rated Sone'a Fee Misr (2014) 1/10  #IMDb  https://t.co/VYDYPS5x07
1051749625831538689 2018-10-15 13:50:26 +0530 <KennedyMike4> I rated The Adventures of Priscilla, Queen of the Desert 8/10  #IMDb  https://t.co/ULIYqcPRM0
1051748705626480640 2018-10-15 13:46:46 +0530 <larrydennisii> I rated Dead Rising: Watchtower (2015) 8/10  #IMDb #deadrising   https://t.co/OVjxFzZCyD
1051739459727884288 2018-10-15 13:10:02 +0530 <fahood0599> I rated Tully (2018) 7/10  #IMDb  ⁦  https://t.co/9Hm5dCx2IN
1051712805777346560 2018-10-15 11:24:07 +0530 <Phoney_o> I rated A Star Is Born (2018) 6/10  #IMDb #Gaga   https://t.co/u9xVzT5PbS
1051711232825159681 2018-10-15 11:17:52 +0530 <imh4ri> I rated U Turn (2018) 8/10  #IMDb  https://t.co/iBExQvNKTc
1051711101560180737 2018-10-15 11:17:21 +0530 <imh4ri> I rated Aarudhra (2018) 5/10  #IMDb  https://t.co/3nE0lYDcBJ
1051709640801701888 2018-10-15 11:11:32 +0530 <YAQ_Alqallaf> I rated Hidden Figures (2016) 8/10  #IMDb  https://t.co/S8TZ2L8kqA
1051708820404224000 2018-10-15 11:08:17 +0530 <BigScreenBlogs> Urgh... 🙄🤷🏼‍♂️🦖🦕 I rated Jurassic World: Fallen Kingdom (2018) 5/10  #IMDb  https://t.co/8S5mhUMp3Y
1051707379526590465 2018-10-15 11:02:33 +0530 <Ahmet_Sys> I rated War Machine (2017) 5/10  #IMDb  https://t.co/2iX5Jp0lzg
1051706788775526400 2018-10-15 11:00:12 +0530 <HK96_13> I rated First Man (2018) 7/10  #IMDb  https://t.co/hYBPpclz8O
1051704756224368640 2018-10-15 10:52:08 +0530 <8KEEF> I rated Battlefield Earth (2000) 1/10  #IMDb  wow. it’s not often you’re able to say something is definitively the worst but this is hands down the worst thing i’ve ever watched. pathetically bad in every aspect  https://t.co/7cz9NKiyIw
1051691063012802560 2018-10-15 09:57:43 +0530 <philipmic> I rated First Man (2018) 9/10  #IMDb emotional. The score really engages the empathy   https://t.co/PMIXP43LkF
1051686159057920010 2018-10-15 09:38:14 +0530 <AguilaDescalza_> Interesting.                                          I rated Annihilation (2018) 8/10  #IMDb  https://t.co/R5A0tqRFrR
1051684694016872449 2018-10-15 09:32:25 +0530 <SFVasquez> Movie is basically paying someone to make you cry  I rated A Star Is Born (2018) 8/10  #IMDb  https://t.co/rFzgcI6Xnm
1051682135269105664 2018-10-15 09:22:15 +0530 <rossgrieco> I rated Sorry to Bother You (2018) 9/10  #IMDb  https://t.co/xxWIDxC0ox
1051680978647814144 2018-10-15 09:17:39 +0530 <1antiku> I rated X-Men: Days of Future Past (2014) 10/10  #IMDb  ما اقول الا ياعظمة براين سينقر 😓❤️  https://t.co/ERYMxj3uuX
1051679496879910912 2018-10-15 09:11:45 +0530 <BuckeyefromMich> I rated The Walking Dead: The Bridge (S9.E2) 9/10  #IMDb #horror #twd #TheWalkingDead   https://t.co/c8S0MQRhwp
1051673790500036609 2018-10-15 08:49:05 +0530 <RobKrygier> I rated Hell House LLC II: The Abaddon Hotel (2018) 6/10  #IMDb  https://t.co/ao9rBuRtVK
1051672406379692032 2018-10-15 08:43:35 +0530 <kobie173> I rated Jurassic World: Fallen Kingdom (2018) 5/10  #IMDb  https://t.co/0Xt0oCNj6p
1051671571046240257 2018-10-15 08:40:16 +0530 <TheMcV0id> I rated A Star Is Born (2018) 9/10  #IMDb  https://t.co/61mfuwYO4R
1051671476972208129 2018-10-15 08:39:53 +0530 <TheMcV0id> I rated Venom (2018) 7/10  #IMDb  https://t.co/hP2hmx147c
1051671234138857473 2018-10-15 08:38:55 +0530 <MartinCabrita> I rated Apostle (2018) 8/10  #IMDb  https://t.co/aKmDALS6nV
1051669059056652288 2018-10-15 08:30:17 +0530 <tanya38066> I rated New Amsterdam (2018– ) 8/10  #IMDb  Dammit, I didn’t want to like another medical show. But this one is so good. :-)  https://t.co/r0Sef9O4ud
1051668422386470912 2018-10-15 08:27:45 +0530 <roberto30654376> I rated Game Night (2018) 9/10  #IMDb  https://t.co/9m9dilRkbI
1051660472842248192 2018-10-15 07:56:10 +0530 <Tito_Catalan> I rated Fear the Walking Dead: Close Your Eyes (S4.E10) 9/10  #IMDb  https://t.co/kp3e8puOnB
1051660323453788160 2018-10-15 07:55:34 +0530 <Tito_Catalan> I rated Fear the Walking Dead: People Like Us (S4.E9) 8/10  #IMDb  https://t.co/jyP6GFToR3
1051660245515173888 2018-10-15 07:55:16 +0530 <Tito_Catalan> I rated Fear the Walking Dead: Weak (S4.E12) 8/10  #IMDb  https://t.co/KuGWON3ai8
1051656528879476737 2018-10-15 07:40:29 +0530 <PRJ_Insurance> I rated Venom (2018) 6/10  #IMDb  https://t.co/vPc5WhDk3O
1051648418077134849 2018-10-15 07:08:16 +0530 <BuckeyefromMich> I rated Halloween (1978) 10/10  #IMDb #halloween #horror #horrormovie #horrormovies #31daysofhalloween  https://t.co/fb5mj434oT
1051648156398743552 2018-10-15 07:07:13 +0530 <Cloudmv> I rated Insidious: The Last Key (2018) 6/10  #IMDb  https://t.co/68GLrnXltN
1051647721487179777 2018-10-15 07:05:30 +0530 <rossgrieco> I rated Songwriter (2018) 8/10  #IMDb  https://t.co/IcAo2yxCZY
1051647574279630853 2018-10-15 07:04:55 +0530 <sfpbth7> I rated Malevolent (2018) 8/10  #IMDb  https://t.co/6N3qQUPUsf
1051645774839382016 2018-10-15 06:57:46 +0530 <OmarM7mmd> I rated The Front Runner (2018) 7/10  #IMDb  https://t.co/ZSLKTWhvaH
