the oldest date in database is :  2016-08-10 01:11:57
763095631665782784 2016-08-10 01:02:30 +0530 <nadyratiya> I rated Zootopia (2016) 8/10  #IMDb  https://t.co/7aH3e1gSX8
763095465332187137 2016-08-10 01:01:51 +0530 <Nasser_11x2> I rated Phone Booth (2002) 9/10  #IMDb  https://t.co/OAXEsmjd2t
763094869292253184 2016-08-10 00:59:29 +0530 <semubil> I rated After Hours (1985) 7/10  #IMDb  https://t.co/NwlWCW2GwD
763093673001320449 2016-08-10 00:54:43 +0530 <Taiiokenn> I rated The Jungle Book (2016) 7/10  #IMDb  https://t.co/PFBbfLcJq8
763091608971702273 2016-08-10 00:46:31 +0530 <tomkug> I rated Suicide Squad (2016) 9/10  #IMDb  https://t.co/Xzm94Myl21
763090957264908288 2016-08-10 00:43:56 +0530 <TheAchilles360> I rated The Originals: A Walk on the Wild Side (S3.E4) 8/10  #IMDb  https://t.co/0JBhNR7mmJ
763088664419237893 2016-08-10 00:34:49 +0530 <matusisko_> I rated Jednotka samovrahov (2016) 6/10  #IMDb  https://t.co/D1xU87NIpy
763088473695936513 2016-08-10 00:34:04 +0530 <adambrowniow> No.233 #1001Movies I rated The Asphalt Jungle (1950) 8/10  #IMDb Excellent crime drama with Marilyn Monroe.  https://t.co/fFuyXgBOZS
763087228423835649 2016-08-10 00:29:07 +0530 <Queztah> I rated Broken Sword: The Serpent's Curse (2013) 7/10  #IMDb  https://t.co/yaPzHZTrlE
763086191705161728 2016-08-10 00:25:00 +0530 <capanigo> I rated Odred otpisanih (2016) 7/10  #IMDb  https://t.co/GPiQusxoAH
763085030549848064 2016-08-10 00:20:23 +0530 <Nasser_11x2> I rated You've Got Mail (1998) 8/10  #IMDb  https://t.co/mWYCSCXMtq
763081219802292228 2016-08-10 00:05:14 +0530 <VMorberg> I rated Straight Outta Compton (2015) 6/10  #IMDb  https://t.co/yHKtZaFqK6
763080589935255552 2016-08-10 00:02:44 +0530 <sarahfailakawi> I rated Unbroken (2014) 7/10  #IMDb  https://t.co/7t3bVY3hWq
763079096213598208 2016-08-09 23:56:48 +0530 <Basim2022> I rated Stranger Things (2016– ) 9/10  #IMDb  https://t.co/2kGzTVfTJ1
