id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1613880591442923522	1613880591442923522	2023-01-13 18:18:12 India Standard Time	2023-01-13	18:18:12	+0530	1446936253	dgear86	Dan Gear		I rated Good Luck to You, Leo Grande (2022) 7/10 #IMDb  https://t.co/e1cb2lMaao	en	[]	['https://www.imdb.com/title/tt13352968']	[]	0	0	0	['imdb']	[]	https://twitter.com/DGear86/status/1613880591442923522	False		0								[]				
1613874174430175232	1613874174430175232	2023-01-13 17:52:42 India Standard Time	2023-01-13	17:52:42	+0530	1229965216563200001	pndasir	SirPanda Sama		I rated Halloween Ends (2022) 4/10 #IMDb   I saw this when it came out but originally scored it a 6/10 but after sitting and thinking of it in retrospect it’s just below average for me.  Also check out my IMDb where I rate movies  https://t.co/xKN0ehJgZl	en	[]	['https://www.imdb.com/title/tt10665342']	[]	0	0	0	['imdb']	[]	https://twitter.com/PndaSir/status/1613874174430175232	False		0								[]				
1613870582944206851	1613870582944206851	2023-01-13 17:38:25 India Standard Time	2023-01-13	17:38:25	+0530	1111694869456715777	ahmad_dashtiiii	Ahmad Dashti		I rated The Raid: Redemption (2011) 8/10 #IMDb  https://t.co/7chwu4jAxU	en	[]	['https://www.imdb.com/title/tt1899353']	[]	0	0	0	['imdb']	[]	https://twitter.com/ahmad_dashtiiii/status/1613870582944206851	False		0								[]				
1613866323896897536	1613866323896897536	2023-01-13 17:21:30 India Standard Time	2023-01-13	17:21:30	+0530	2729591264	i_bz0	ً ً		I rated Kimetsu no Yaiba: Layered Memories (S3.E6) 10/10 #IMDb things went from 0 to 100 QUICKLY 🤯💙  https://t.co/YergdPqSPV	en	[]	['https://www.imdb.com/title/tt16972222']	[]	0	0	0	['imdb']	[]	https://twitter.com/I_Bz0/status/1613866323896897536	False		0								[]				
1613865497531121664	1613865497531121664	2023-01-13 17:18:13 India Standard Time	2023-01-13	17:18:13	+0530	487412098	ha1tham1	هيثم		I rated Los renglones torcidos de Dios (2022) 7/10 #IMDb   https://t.co/GBCXKA3oyA	es	[]	['https://www.imdb.com/title/tt13229894']	[]	0	0	0	['imdb']	[]	https://twitter.com/ha1tham1/status/1613865497531121664	False		0								[]				
1613854694899699713	1613854694899699713	2023-01-13 16:35:17 India Standard Time	2023-01-13	16:35:17	+0530	1446936253	dgear86	Dan Gear		I rated Beast (2022) 5/10 #IMDb  https://t.co/nVLs7d6q0n	en	[]	['https://www.imdb.com/title/tt13223398']	[]	0	0	0	['imdb']	[]	https://twitter.com/DGear86/status/1613854694899699713	False		0								[]				
1613853743384088576	1613853743384088576	2023-01-13 16:31:31 India Standard Time	2023-01-13	16:31:31	+0530	68976803	rsahmkow	Roberto Carlos 🇻🇪 🇲🇽 🇰🇼		I rated Wildcat (2022) 9/10 #IMDb/ Hermoso documental  https://t.co/VrDKxB0U5M	en	[]	['https://www.imdb.com/title/tt13622204']	[]	0	0	0	['imdb']	[]	https://twitter.com/rsahmkow/status/1613853743384088576	False		0								[]				
1613852601162027008	1613852601162027008	2023-01-13 16:26:58 India Standard Time	2023-01-13	16:26:58	+0530	133668979	r0lan65	📣Rewatching OP Ep 1000/???⚓		Foods a little funny at the clown cafe 🎶🎶🎶  But holy shit this was a good af sequel 😂😂💯💯💯💯🤡  I rated Terrifier 2 (2022) 8/10 #IMDb  https://t.co/7cVmYB4glE	en	[]	['https://www.imdb.com/title/tt10403420']	[]	0	0	0	['imdb']	[]	https://twitter.com/R0LAN65/status/1613852601162027008	False		0								[]				
1613846158211784706	1613846158211784706	2023-01-13 16:01:22 India Standard Time	2023-01-13	16:01:22	+0530	51231721	mmarcinex	MarcS		I rated Man vs. Bee (2022–2022) 7/10 #IMDb  https://t.co/2KNT3HA32m	en	[]	['https://www.imdb.com/title/tt13640670']	[]	0	0	0	['imdb']	[]	https://twitter.com/mmarcinex/status/1613846158211784706	False		0								[]				
1613837738373173249	1613837738373173249	2023-01-13 15:27:55 India Standard Time	2023-01-13	15:27:55	+0530	1046204298370080768	danual_gordon	Danual Gordon🇦🇺		I rated #Servant: Pigeon (S4.E1) 8/10 #IMDb #AppleTVPlus #AppleTV #TVShows   https://t.co/aobjKvOJ3j	en	[]	['https://www.imdb.com/title/tt16421130']	[]	0	0	0	['servant', 'imdb', 'appletvplus', 'appletv', 'tvshows']	[]	https://twitter.com/Danual_Gordon/status/1613837738373173249	False		0								[]				
1613836521655734272	1613836521655734272	2023-01-13 15:23:05 India Standard Time	2023-01-13	15:23:05	+0530	1522273109902077952	yupimkai	Kai ☻		I rated Get Smart (2008) 5/10 #IMDb  ستيف كاريل و آن هاثاواي ثنائي غريب احلام العصر بس حلو 😂  ذا روك زبال و طول عمره بيبقى زبال  ظهور المصارع ذا غريت كالي صدمه 😂  https://t.co/uCXMvoStpS	ar	[]	['https://www.imdb.com/title/tt0425061']	[]	0	0	0	['imdb']	[]	https://twitter.com/YupimKai/status/1613836521655734272	False		0								[]				
1613835243483729920	1613835243483729920	2023-01-13 15:18:00 India Standard Time	2023-01-13	15:18:00	+0530	235873057	gavsouthern	Gavin Southern		I rated Treason (2022–2022) 7/10 #IMDb  https://t.co/GP0xuLcj6x	en	[]	['https://www.imdb.com/title/tt16450274']	[]	0	0	0	['imdb']	[]	https://twitter.com/gavsouthern/status/1613835243483729920	False		0								[]				
1613824412280623105	1613824412280623105	2023-01-13 14:34:57 India Standard Time	2023-01-13	14:34:57	+0530	1015173954305187840	habbooshtii	هبه		I rated Kaleidoscope (2023–2023) 8/10 #IMDb masterpiece   https://t.co/JvzwH8PxQ6	pl	[]	['https://www.imdb.com/title/tt15438246']	[]	0	0	0	['imdb']	[]	https://twitter.com/habbooshtii/status/1613824412280623105	False		0								[]				
1613819071312629760	1613819071312629760	2023-01-13 14:13:44 India Standard Time	2023-01-13	14:13:44	+0530	20151744	kallikallikalli	Kalli		I rated Elvis (2022) 7/10 #IMDb   https://t.co/KJhclmvv5h	en	[]	['https://www.imdb.com/title/tt3704428']	[]	0	0	0	['imdb']	[]	https://twitter.com/KalliKalliKalli/status/1613819071312629760	False		0								[]				
1613817869967544321	1613817869967544321	2023-01-13 14:08:58 India Standard Time	2023-01-13	14:08:58	+0530	256871815	mesharibaker	Meshari Baker		I rated Wednesday (2022– ) 5/10 #IMDb   https://t.co/gkSZ1KuoQl	en	[]	['https://www.imdb.com/title/tt13443470']	[]	0	0	0	['imdb']	[]	https://twitter.com/MeshariBaker/status/1613817869967544321	False		0								[]				
1613807997553090561	1613807997553090561	2023-01-13 13:29:44 India Standard Time	2023-01-13	13:29:44	+0530	242431405	safarmahdi78	MJS ™️ ♻️		I rated Cast Away (2000) 8/10 #IMDb  https://t.co/XiiqUn2ZXt	en	[]	['https://www.imdb.com/title/tt0162222']	[]	0	0	0	['imdb']	[]	https://twitter.com/safarmahdi78/status/1613807997553090561	False		0								[]				
