,S_No,user_id,username,tweet,unix_time,title,year,rating
0,761101,63287401,Sazzle1711,I rated Stepping Out 10/10 ,1390057296,,,
1,761102,2284520987,AdamMccann12,I rated Smosh 10/10  http://t.co/TbuFa732tK,1390057294,,,
2,761103,210676048,THSZone,I rated Frozen 8/10 ,1390056431,,,
3,761104,85132593,bussblue,I rated The Knot 3/10 ,1390056390,,,
4,761105,211815326,3alhamad,I rated Being John Malkovich 6/10 ,1390056298,,,
5,761106,598061950,codykins503,I rated Despicable Me 2 3/10 ,1390056288,,,
6,761107,492769213,chadiscollins,I rated What Maisie Knew 8/10 ,1390056078,,,
7,761108,357911166,talloolly,I rated Captain Phillips 8/10 ,1390055805,,,
8,761109,301214863,H_AlShimali,I rated The Wolf of Wall Street 7/10 ,1390055757,,,
9,761110,468577972,sami_kolak,I rated Wreck-It Ralph 7/10 ,1390055294,,,
10,761111,14622586,Easyosen,I rated Blue Jasmine 8/10 ,1390055273,,,
11,761112,40628724,generalmartin,I rated Conan the Barbarian 5/10 ,1390055017,,,
12,761113,192820923,FredTMaster,I rated Riddick 7/10 ,1390055016,,,
13,761114,45796241,catharsispro,I rated Dumb and Dumberer: When Harry Met Lloyd 7/10 ,1390054206,,,
14,761115,40628724,generalmartin,I rated No Country for Old Men 7/10 ,1390054058,,,
15,761116,257406433,TheJustinator,I rated Total Recall 7/10 ,1390053973,,,
16,761117,104455348,TomBrookes2010,I rated I Know That Voice 7/10 ,1390053611,,,
17,761118,58307406,FreestyleTweets,I rated American Hustle 6/10 ,1390053463,,,
18,761119,468577972,sami_kolak,I rated The Wolf of Wall Street 9/10 ,1390053390,,,
19,761120,40076267,Naurloss,"I have rated ""Fate/Stay Night: Unlimited Blade Works"" 10/10 on",1390053268,,,
20,761121,319761183,jerome_2304,I rated Escándalo Americano 10/10 ,1390053130,,,
21,761122,31271699,Mark_it_Zero_8,I rated American Hustle 4/10 ,1390053086,,,
22,761123,22405760,Priestland,I rated Escape Plan 5/10 ,1390053005,,,
23,761124,1398316856,OmerAgcaa35,I rated We're the Millers 6/10 ,1390052999,,,
24,761125,22405760,Priestland,I rated Anchorman 2: The Legend Continues 6/10 ,1390052962,,,
25,761126,1398316856,OmerAgcaa35,I rated Captain Phillips 9/10 ,1390052890,,,
26,761127,1398316856,OmerAgcaa35,I rated Prisoners 7/10 ,1390052854,,,
27,761128,1398316856,OmerAgcaa35,I rated 12 Years a Slave 9/10 ,1390052703,,,
28,761129,45157085,nylecgarcia,I rated The Break-Up 8/10 ,1390052402,,,
29,761130,45157085,nylecgarcia,I rated Hot Tub Time Machine 8/10 ,1390052335,,,
30,761131,237224039,jiggyjames5,I rated Lone Survivor 8/10 ,1390052314,,,
31,761132,2284520987,AdamMccann12,I rated Modern Family 10/10  http://t.co/v1rLyWK8iH,1390052308,,,
32,761133,39643954,patetamparo,I rated Her 10/10 ,1390052292,,,
33,761134,18088299,rodolfosanchez,I rated Children of Men 9/10 ,1390051871,,,
34,761135,208039472,PrinceOf_Comedy,I rated Exorcist: The Beginning 7/10 ,1390051741,,,
35,761136,1013177558,AbdullahAlfuzai,I rated Her 8/10 ,1390051600,,,
36,761137,416603029,Roy1984tw,I rated Blue Jasmine 7/10 ,1390051593,,,
37,761138,1013177558,AbdullahAlfuzai,I rated August: Osage County 7/10 ,1390051565,,,
38,761139,1013177558,AbdullahAlfuzai,I rated The Legend of Hercules 3/10 ,1390051528,,,
39,761140,1013177558,AbdullahAlfuzai,I rated Lone Survivor 7/10 ,1390051503,,,
40,761141,112404019,alzaeem_7725,I rated The Wolf of Wall Street 7/10 ,1390051409,,,
41,761142,68917505,TateLeon,I rated American Hustle 8/10 ,1390051242,,,
42,761143,87087710,michaelmaycomix,I rated 42 a 6/10 ,1390050305,,,
43,761144,150978150,Hamza_ymcmb,I rated 21 Jump Street 9/10 ,1390050240,,,
44,761145,221869077,cFRESHlechner,I rated The Act of Killing 10/10 ,1390048972,,,
45,761146,253803673,tanmanswanson,I rated Singin' in the Rain 8/10 ,1390048970,,,
46,761147,110999175,oc0nner,I rated End of Watch 8/10 ,1390048969,,,
47,761148,400806707,7amad12345,I rated Mr. Go 8/10 ,1390048909,,,
48,761149,392098611,AbdulelahTB,I rated Dallas Buyers Club 9/10 Great movie,1390048872,,,
49,761150,71984754,pluechow,I rated Lone Survivor 8/10 ,1390048061,,,
50,761151,15270692,johnnybiddy,I rated Prisoners 10/10 ,1390047749,,,
51,761152,196799720,justmichellem77,I rated The Three Musketeers 9/10 ,1390047338,,,
52,761153,259573788,0Dang,I rated Dallas Buyers Club 7/10 ,1390047241,,,
53,761154,231298648,ASPhotographyca,I rated Percy Jackson: Sea of Monsters 8/10 ,1390047019,,,
54,761155,321530376,WaterBottles711,I rated Lone Survivor 10/10 ,1390046987,,,
55,761156,14224905,vinitneo,I rated Ender's Game 7/10 ,1390046749,,,
56,761157,14224905,vinitneo,I rated Last Vegas 6/10 ,1390046725,,,
57,761158,384384914,IBader_x,I rated Captain Phillips 9/10 ,1390046143,,,
58,761159,430589068,itsRyanUnicomb,I rated Her 10/10 ,1390045733,,,
59,761160,59077428,spacearcheology,I rated Her 8/10 ,1390045286,,,
60,761161,18146782,bydunai,I rated Convoy 6/10 ,1390045251,,,
61,761162,47220859,emindead,I rated American Hustle 8/10 ,1390045080,,,
62,761163,963747091,sanguivel,I rated Game of Thrones 10/10 ,1390044837,,,
